"Rating","Size","Type.of.ownership","Industry","Sector","Revenue","Job.Category","Company.type","Headquarters.Flag","Avg.Salary"
"3.8","501 to 1000 employees","Company - Private","Aerospace & Defense","Aerospace & Defense","$50 to $100 million (USD)","Scientist","Middle-age firm",FALSE,72
"3.4","10000+ employees","Other Organization","Health Care Services & Hospitals","Health Care","$2 to $5 billion (USD)","Scientist","Middle-age firm",FALSE,87.5
"4.8","501 to 1000 employees","Company - Private","Security Services","Business Services","$100 to $500 million (USD)","Scientist","Middle-age firm",TRUE,85
"3.8","1001 to 5000 employees","Government","Energy","Oil, Gas, Energy & Utilities","$500 million to $1 billion (USD)","Scientist","Traditional firm",TRUE,76.5
"2.9","51 to 200 employees","Company - Private","Advertising & Marketing","Business Services","-1","Scientist","Middle-age firm",TRUE,114.5
"3.4","201 to 500 employees","Company - Public","Real Estate","Real Estate","$1 to $2 billion (USD)","Scientist","Middle-age firm",TRUE,95
"4.1","501 to 1000 employees","Company - Private","Banks & Credit Unions","Finance","-1","Scientist","Middle-age firm",TRUE,73.5
"3.8","201 to 500 employees","Company - Private","Consulting","Business Services","$25 to $50 million (USD)","Scientist","Middle-age firm",FALSE,114
"3.3","10000+ employees","Hospital","Health Care Services & Hospitals","Health Care","$500 million to $1 billion (USD)","Scientist","Middle-age firm",TRUE,61
"4.6","51 to 200 employees","Company - Private","Internet","Information Technology","$100 to $500 million (USD)","Scientist","Middle-age firm",TRUE,140
"3.5","501 to 1000 employees","Company - Private","Other Retail Stores","Retail","$1 to $2 billion (USD)","Scientist","Middle-age firm",FALSE,163.5
"4.1","5001 to 10000 employees","Company - Public","Research & Development","Business Services","$1 to $2 billion (USD)","Scientist","Traditional firm",FALSE,85
"3.2","10000+ employees","Company - Public","Department, Clothing, & Shoe Stores","Retail","$10+ billion (USD)","Scientist","Traditional firm",FALSE,139
"4.1","201 to 500 employees","Company - Private","Advertising & Marketing","Business Services","-1","Analyst","Middle-age firm",TRUE,65.5
"3.7","10000+ employees","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Scientist","Traditional firm",FALSE,113.5
"3.6","1001 to 5000 employees","Subsidiary or Business Segment","Motion Picture Production & Distribution","Media","-1","Engineer","Middle-age firm",TRUE,146
"3.9","51 to 200 employees","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $5 million (USD)","Scientist","Middle-age firm",TRUE,102
"4.3","201 to 500 employees","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1","Scientist","Middle-age firm",TRUE,153.5
"4.2","51 to 200 employees","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1","Analyst","Middle-age firm",TRUE,142.5
"4","501 to 1000 employees","Nonprofit Organization","Insurance Carriers","Insurance","$500 million to $1 billion (USD)","Scientist","Traditional firm",TRUE,87.5
"3.2","201 to 500 employees","Company - Private","Internet","Information Technology","-1","Scientist","Middle-age firm",TRUE,105.5
"3.9","201 to 500 employees","Company - Private","Insurance Agencies & Brokerages","Insurance","-1","Senior","Middle-age firm",FALSE,96
"3.8","501 to 1000 employees","Company - Private","Logistics & Supply Chain","Transportation & Logistics","-1","Scientist","Middle-age firm",FALSE,112.5
"4.3","51 to 200 employees","Nonprofit Organization","Logistics & Supply Chain","Transportation & Logistics","$10 to $25 million (USD)","Scientist","Traditional firm",FALSE,84
"4","501 to 1000 employees","Company - Private","Enterprise Software & Network Solutions","Information Technology","$100 to $500 million (USD)","Scientist","Middle-age firm",FALSE,143
"4","10000+ employees","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Scientist","Traditional firm",FALSE,86.5
"3.5","1001 to 5000 employees","Company - Private","Banks & Credit Unions","Finance","$100 to $500 million (USD)","Scientist","Traditional firm",FALSE,99.5
"3.7","5001 to 10000 employees","Company - Public","Insurance Carriers","Insurance","$5 to $10 billion (USD)","Analyst","Traditional firm",TRUE,47.5
"4","10000+ employees","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Scientist","Traditional firm",FALSE,84
"4.8","501 to 1000 employees","Company - Private","Security Services","Business Services","$100 to $500 million (USD)","Scientist","Middle-age firm",TRUE,85
"3.8","1001 to 5000 employees","Government","Energy","Oil, Gas, Energy & Utilities","$500 million to $1 billion (USD)","Scientist","Traditional firm",TRUE,76.5
"3.6","1001 to 5000 employees","Company - Private","Real Estate","Real Estate","$500 million to $1 billion (USD)","Scientist","Middle-age firm",TRUE,96
"3.8","10000+ employees","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Scientist","Middle-age firm",FALSE,114.5
"3.8","5001 to 10000 employees","Company - Public","Telecommunications Services","Telecommunications","$2 to $5 billion (USD)","Scientist","Middle-age firm",TRUE,121
"4.7","201 to 500 employees","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","-1","Scientist","Middle-age firm",TRUE,112.5
"4.2","201 to 500 employees","Company - Private","IT Services","Information Technology","-1","Analyst","Middle-age firm",FALSE,106
"3.5","1001 to 5000 employees","Company - Private","Computer Hardware & Software","Information Technology","$1 to $2 billion (USD)","Scientist","Middle-age firm",TRUE,107
"4.7","201 to 500 employees","Company - Private","Aerospace & Defense","Aerospace & Defense","$100 to $500 million (USD)","Scientist","Middle-age firm",TRUE,110
"3.5","5001 to 10000 employees","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $2 billion (USD)","Senior","Traditional firm",FALSE,147.5
"3.5","201 to 500 employees","Company - Private","Insurance Carriers","Insurance","$100 to $500 million (USD)","Engineer","Middle-age firm",TRUE,106
"4.2","201 to 500 employees","Company - Private","IT Services","Information Technology","$50 to $100 million (USD)","Analyst","Middle-age firm",TRUE,88
"3.6","1 to 50 employees","Company - Private","-1","-1","Less than $1 million (USD)","Engineer","Traditional firm",FALSE,98.5
"4.2","51 to 200 employees","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1","Scientist","Middle-age firm",TRUE,142.5
"3.4","5001 to 10000 employees","Company - Public","Consumer Products Manufacturing","Manufacturing","$2 to $5 billion (USD)","Scientist","New firm",FALSE,82.5
"4.3","1001 to 5000 employees","Company - Public","Real Estate","Real Estate","$2 to $5 billion (USD)","Senior","Middle-age firm",TRUE,130
"5","-1","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1","Scientist","Traditional firm",FALSE,155
"3.7","10000+ employees","Company - Public","IT Services","Information Technology","$10+ billion (USD)","Scientist","Traditional firm",FALSE,184.5
"3.1","5001 to 10000 employees","Company - Private","Enterprise Software & Network Solutions","Information Technology","$2 to $5 billion (USD)","Analyst","Middle-age firm",FALSE,29.5
"4.7","501 to 1000 employees","Company - Private","Aerospace & Defense","Aerospace & Defense","$100 to $500 million (USD)","Engineer","Middle-age firm",FALSE,86.5
"3.7","10000+ employees","Company - Public","Industrial Manufacturing","Manufacturing","$10+ billion (USD)","Scientist","Traditional firm",FALSE,81
"3.8","501 to 1000 employees","Subsidiary or Business Segment","Advertising & Marketing","Business Services","-1","Scientist","Middle-age firm",TRUE,91
"3.3","10000+ employees","Company - Private","Insurance Carriers","Insurance","$10+ billion (USD)","Scientist","Traditional firm",TRUE,114.5
"4.6","1001 to 5000 employees","Company - Private","Aerospace & Defense","Aerospace & Defense","$100 to $500 million (USD)","Analyst","Middle-age firm",TRUE,68
"3.7","10000+ employees","Company - Public","Insurance Agencies & Brokerages","Insurance","$10+ billion (USD)","Scientist","Traditional firm",FALSE,115
"3.7","10000+ employees","Company - Public","Aerospace & Defense","Aerospace & Defense","$10+ billion (USD)","Scientist","Traditional firm",FALSE,109.5
"3.5","5001 to 10000 employees","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $2 billion (USD)","Scientist","Traditional firm",FALSE,75.5
"4.1","501 to 1000 employees","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1","Scientist","Middle-age firm",FALSE,154.5
"4.7","51 to 200 employees","Company - Private","IT Services","Information Technology","-1","Scientist","New firm",TRUE,143.5
"4.1","501 to 1000 employees","Company - Private","Banks & Credit Unions","Finance","-1","Scientist","Middle-age firm",TRUE,73.5
"3.4","201 to 500 employees","Company - Public","Real Estate","Real Estate","$1 to $2 billion (USD)","Scientist","Middle-age firm",TRUE,95
"4.4","201 to 500 employees","Subsidiary or Business Segment","Metals Brokers","Mining & Metals","-1","Senior","Traditional firm",TRUE,107
"4.3","201 to 500 employees","Company - Private","Consulting","Business Services","$10 to $25 million (USD)","Scientist","Middle-age firm",TRUE,115
"3.8","501 to 1000 employees","Company - Public","Financial Transaction Processing","Finance","$50 to $100 million (USD)","Senior","Middle-age firm",TRUE,139.5
"3.8","1001 to 5000 employees","Government","Energy","Oil, Gas, Energy & Utilities","$500 million to $1 billion (USD)","Scientist","Traditional firm",TRUE,67
"3.8","10000+ employees","Company - Public","Sporting Goods Stores","Retail","$5 to $10 billion (USD)","Scientist","Traditional firm",TRUE,85
"2.8","51 to 200 employees","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $5 million (USD)","Scientist","Middle-age firm",TRUE,118
"4.7","51 to 200 employees","Company - Private","Computer Hardware & Software","Information Technology","$25 to $50 million (USD)","Scientist","Middle-age firm",TRUE,79.5
"3.1","201 to 500 employees","Company - Public","Advertising & Marketing","Business Services","$100 to $500 million (USD)","Scientist","Middle-age firm",TRUE,56.5
"3.2","1 to 50 employees","Company - Private","Staffing & Outsourcing","Business Services","$5 to $10 million (USD)","Scientist","Traditional firm",FALSE,128.5
"4","10000+ employees","Company - Public","Computer Hardware & Software","Information Technology","-1","Scientist","Traditional firm",FALSE,97.5
"4.4","1 to 50 employees","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1","Analyst","New firm",FALSE,66.5
"3.6","10000+ employees","Company - Public","Wholesale","Business Services","$10+ billion (USD)","Manager","Traditional firm",TRUE,179.5
"2.7","501 to 1000 employees","Subsidiary or Business Segment","Research & Development","Business Services","$50 to $100 million (USD)","Scientist","Middle-age firm",FALSE,76
"3.9","501 to 1000 employees","Company - Private","IT Services","Information Technology","$100 to $500 million (USD)","Senior","Middle-age firm",FALSE,112
"3.1","1001 to 5000 employees","Company - Private","Mining","Mining & Metals","$1 to $2 billion (USD)","Scientist","Traditional firm",FALSE,98
"4","10000+ employees","Company - Public","Computer Hardware & Software","Information Technology","-1","Senior","Traditional firm",FALSE,128
"4.3","201 to 500 employees","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1","Engineer","Middle-age firm",TRUE,150.5
"1.9","51 to 200 employees","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10 to $25 million (USD)","Scientist","Middle-age firm",TRUE,87.5
"3.3","1001 to 5000 employees","Company - Private","Aerospace & Defense","Aerospace & Defense","$1 to $2 billion (USD)","Scientist","New firm",FALSE,110
"4.4","10000+ employees","Company - Private","IT Services","Information Technology","$500 million to $1 billion (USD)","Scientist","Middle-age firm",FALSE,113.5
"3.9","51 to 200 employees","Company - Private","Health Care Services & Hospitals","Health Care","$1 to $5 million (USD)","Scientist","New firm",TRUE,124
"4.7","201 to 500 employees","Company - Private","Advertising & Marketing","Business Services","$25 to $50 million (USD)","Analyst","Middle-age firm",TRUE,56.5
"4.5","5001 to 10000 employees","Nonprofit Organization","Aerospace & Defense","Aerospace & Defense","$1 to $2 billion (USD)","Scientist","Traditional firm",TRUE,130
"4.3","51 to 200 employees","Company - Private","Computer Hardware & Software","Information Technology","$10 to $25 million (USD)","Analyst","Middle-age firm",TRUE,77.5
"4","201 to 500 employees","Company - Private","Consulting","Business Services","$50 to $100 million (USD)","Engineer","Middle-age firm",TRUE,87
"4.4","501 to 1000 employees","Company - Private","Wholesale","Business Services","$100 to $500 million (USD)","Analyst","Traditional firm",TRUE,53.5
"3.2","10000+ employees","Company - Public","Department, Clothing, & Shoe Stores","Retail","$10+ billion (USD)","Scientist","Traditional firm",FALSE,139
"3.8","201 to 500 employees","Company - Private","Consulting","Business Services","$25 to $50 million (USD)","Scientist","Middle-age firm",FALSE,114
"4.2","501 to 1000 employees","Company - Private","Enterprise Software & Network Solutions","Information Technology","$100 to $500 million (USD)","Scientist","Middle-age firm",TRUE,85.5
"4.5","51 to 200 employees","Company - Private","IT Services","Information Technology","$25 to $50 million (USD)","Scientist","Middle-age firm",FALSE,48
"3.5","51 to 200 employees","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1","Analyst","Middle-age firm",TRUE,48
"3.5","201 to 500 employees","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)","Senior","Middle-age firm",TRUE,174
"3.9","5001 to 10000 employees","Company - Public","Financial Analytics & Research","Finance","$1 to $2 billion (USD)","Scientist","Traditional firm",FALSE,85
"4.7","51 to 200 employees","Company - Private","IT Services","Information Technology","$10 to $25 million (USD)","Scientist","Middle-age firm",FALSE,106.5
"4.2","1001 to 5000 employees","Company - Private","IT Services","Information Technology","$100 to $500 million (USD)","Analyst","Middle-age firm",FALSE,72.5
"3.4","10000+ employees","Subsidiary or Business Segment","IT Services","Information Technology","$10+ billion (USD)","Scientist","Middle-age firm",FALSE,85.5
"3.2","5001 to 10000 employees","Nonprofit Organization","Federal Agencies","Government","$1 to $2 billion (USD)","Scientist","Traditional firm",FALSE,97.5
"3.9","501 to 1000 employees","Company - Private","IT Services","Information Technology","$100 to $500 million (USD)","Scientist","Middle-age firm",FALSE,99
"3.1","1001 to 5000 employees","Company - Private","Insurance Carriers","Insurance","$2 to $5 billion (USD)","Analyst","Middle-age firm",FALSE,56.5
"4.1","1 to 50 employees","Company - Private","IT Services","Information Technology","-1","Scientist","Middle-age firm",TRUE,133
"3.8","51 to 200 employees","Company - Private","Research & Development","Business Services","-1","Scientist","Middle-age firm",TRUE,121
"4.7","501 to 1000 employees","Company - Private","Security Services","Business Services","-1","Scientist","Middle-age firm",TRUE,85.5
"4.3","1001 to 5000 employees","Subsidiary or Business Segment","Education Training Services","Education","-1","Scientist","New firm",FALSE,87.5
"4.2","1001 to 5000 employees","Company - Private","Consulting","Business Services","-1","Senior","Traditional firm",TRUE,237.5
"3.9","1001 to 5000 employees","Company - Private","IT Services","Information Technology","$100 to $500 million (USD)","Engineer","Middle-age firm",FALSE,95.5
"3.3","10000+ employees","Company - Public","Transportation Equipment Manufacturing","Manufacturing","$5 to $10 billion (USD)","Senior","Middle-age firm",FALSE,104.5
"4.7","201 to 500 employees","Company - Private","Computer Hardware & Software","Information Technology","-1","Analyst","Middle-age firm",FALSE,56.5
"4.3","201 to 500 employees","Company - Private","Enterprise Software & Network Solutions","Information Technology","$25 to $50 million (USD)","Senior","Middle-age firm",TRUE,55
"2.9","1001 to 5000 employees","Hospital","Health Care Services & Hospitals","Health Care","-1","Scientist","Middle-age firm",TRUE,61.5
"4.5","201 to 500 employees","Company - Private","Computer Hardware & Software","Information Technology","$100 to $500 million (USD)","Scientist","Middle-age firm",TRUE,157
"3.4","201 to 500 employees","Company - Private","Internet","Information Technology","-1","Engineer","New firm",TRUE,78
"3.7","10000+ employees","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Scientist","Traditional firm",FALSE,113.5
"4.6","51 to 200 employees","Company - Private","Internet","Information Technology","$100 to $500 million (USD)","Scientist","Middle-age firm",TRUE,140
"3.2","51 to 200 employees","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1","Scientist","New firm",TRUE,132.5
"4","5001 to 10000 employees","Company - Public","Computer Hardware & Software","Information Technology","$2 to $5 billion (USD)","Engineer","Middle-age firm",FALSE,108
"4.6","501 to 1000 employees","Company - Private","Farm Support Services","Agriculture & Forestry","$50 to $100 million (USD)","Scientist","Traditional firm",TRUE,80.5
"2.8","201 to 500 employees","Company - Private","Health Care Services & Hospitals","Health Care","-1","Scientist","Middle-age firm",TRUE,107.5
"4.7","51 to 200 employees","Company - Private","Consulting","Business Services","$25 to $50 million (USD)","Engineer","Middle-age firm",TRUE,95
"3","1001 to 5000 employees","Nonprofit Organization","Health Care Services & Hospitals","Health Care","-1","Scientist","Middle-age firm",TRUE,119.5
"3.2","1001 to 5000 employees","Company - Private","Advertising & Marketing","Business Services","$1 to $2 billion (USD)","Engineer","Middle-age firm",FALSE,134
"4.4","201 to 500 employees","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1","Scientist","Middle-age firm",TRUE,100.5
"3.5","1001 to 5000 employees","Company - Public","TV Broadcast & Cable Networks","Media","$500 million to $1 billion (USD)","Scientist","Traditional firm",TRUE,107.5
"4","51 to 200 employees","Company - Private","Internet","Information Technology","-1","Engineer","New firm",TRUE,122
"4.3","1001 to 5000 employees","Company - Public","Real Estate","Real Estate","$2 to $5 billion (USD)","Engineer","Middle-age firm",TRUE,92.5
"2.3","501 to 1000 employees","Company - Private","Research & Development","Business Services","$100 to $500 million (USD)","Analyst","Middle-age firm",TRUE,62
"4","51 to 200 employees","-1","Architectural & Engineering Services","Business Services","$25 to $50 million (USD)","Scientist","Middle-age firm",FALSE,39.5
"3.6","1001 to 5000 employees","Company - Private","Industrial Manufacturing","Manufacturing","$100 to $500 million (USD)","Scientist","Traditional firm",FALSE,107.5
"3.8","501 to 1000 employees","Company - Private","Staffing & Outsourcing","Business Services","-1","Manager","New firm",TRUE,40.5
"3.7","10000+ employees","Company - Public","IT Services","Information Technology","$10+ billion (USD)","Engineer","Traditional firm",FALSE,89.5
"4.4","201 to 500 employees","Company - Private","Consulting","Business Services","$50 to $100 million (USD)","Scientist","Middle-age firm",TRUE,81
"4","501 to 1000 employees","Company - Private","Enterprise Software & Network Solutions","Information Technology","$100 to $500 million (USD)","Senior","Middle-age firm",FALSE,147
"3.2","1001 to 5000 employees","Company - Private","Brokerage Services","Finance","$100 to $500 million (USD)","Scientist","Traditional firm",TRUE,85
"2.9","1001 to 5000 employees","Company - Private","Consumer Products Manufacturing","Manufacturing","$1 to $2 billion (USD)","Scientist","Middle-age firm",FALSE,81.5
"3.8","1001 to 5000 employees","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$500 million to $1 billion (USD)","Scientist","Middle-age firm",FALSE,168
"4.3","1 to 50 employees","Company - Private","Aerospace & Defense","Aerospace & Defense","-1","Scientist","Middle-age firm",TRUE,100.5
"3.4","1001 to 5000 employees","Company - Private","Consulting","Business Services","$100 to $500 million (USD)","Engineer","Traditional firm",FALSE,97
"4.1","5001 to 10000 employees","Company - Public","Research & Development","Business Services","$1 to $2 billion (USD)","Scientist","Traditional firm",FALSE,85
"4.3","201 to 500 employees","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1","Scientist","Middle-age firm",TRUE,153.5
"5","51 to 200 employees","Company - Private","IT Services","Information Technology","-1","Engineer","New firm",FALSE,132.5
